code,physical_meaning,formula_phi_form,target_value,computed_value,abs_error_percent,classification,justification_short,source_theorem_file
L01,m_mu/m_e (pole),239*e/pi,206.7682830,206.796179,0.0135,NF,"Целое 239=240-1 имеет H4-арифметическую мотивацию (E8-projection defect), но комбинация e/pi не выводится из первых принципов; это численный подбор трансцендентной пары при фиксированном целом коэффициенте",derivations/leptons/L01_L03_origins.md
L02,m_tau/m_mu (pole),239*phi^4/pi^4,16.8166,16.817017,0.0025,S,"Целое 239 имеет H4-арифметику; степень 4 совпадает с рангом H4 — структурная связь; конкретное соотношение phi^4/pi^4 не выводится аналитически",derivations/leptons/L01_L03_origins.md
L03,m_tau/m_e (pole),549*e*pi^2/phi^3,3477.23,3476.991676,0.0069,S,"Целое 549=e3*e4-d1=19*29-2 — арифметика H4-параметров; степень -3 совпадает с числом поколений; трансцендентная комбинация e*pi^2 не выводится",derivations/leptons/L01_L03_origins.md
Q01,m_u/m_d (2 GeV MSbar),2*phi/7,0.462,0.462295,0.0639,NF,"2=d1 (степень H4), 7=L4 (число Люка) — структурно мотивировано; однако m_u/m_d известно с погрешностью ~30%, любая формула в диапазоне [0.38,0.58] проходит; реального вывода нет",derivations/quarks/Q01_Q07_origins.md
Q02,m_s/m_u (2 GeV MSbar),12+phi^3*e^2,43.24,43.300544,0.1400,NF,"12=d2 (степень H4) — структурный; слагаемое phi^3*e^2 представляет собой произвольное разбиение числа 43 на 12+31; e^2 не выводится из H4; классифицирован как Pass (ошибка 0.14%)",derivations/quarks/Q01_Q07_origins.md
Q03,m_c/m_d (mc/m_d cross-scheme),19*pi*e^2/phi,272.6,272.586785,0.0048,S,"19=e3 (показатель H4) — структурная константа; 1/phi=phi-1 алгебраически строго; pi*e^2 — численный подбор трёх констант при двух степенях свободы",derivations/quarks/Q01_Q07_origins.md
Q04,m_c/m_s,24*pi^3/e^4,13.630,13.629594,0.0030,S,"24=d1*d2=2*12 — произведение степеней H4; формула не содержит phi явно (только через H4); pi^3/e^4 не выводится из первых принципов",derivations/quarks/Q01_Q07_origins.md
Q05,m_b/m_s,43+pi/phi,44.94,44.941611,0.0036,NF,"43 приписывается комбинации e4+e2+d1+e1=29+11+2+1 (неоднозначно); поправка pi/phi — численный подбор; исходная формула пересматривалась (была 29+12pi/phi, ошибка 16%)",derivations/quarks/Q01_Q07_origins.md
Q05b,m_b/m_c,127*phi/120+30/19,3.291,3.291367,0.0111,NF,"Коэффициенты 127, 120, 30, 19 не имеют прозрачного H4-происхождения; это двухпараметрическая подгонка к двум константам; формула отсутствует в Catalog42.v",validate_v4.py
Q06,m_t [GeV pole],pi*e^4+6/5,172.69,172.725147,0.0204,NF,"Абсолютная масса в ГэВ зависит от выбора единиц (масштаб протонной массы — КХД); формула в Catalog42.v другая (phi^4*e^2/3~0.925 ГэВ — катастрофически неверна); исправленная pi*e^4+1.2 — чистая подгонка; phi явно отсутствует",derivations/quarks/Q01_Q07_origins.md
Q07,m_s/m_d (2 GeV MSbar),24*phi^2/pi,20.00,20.000306,0.0015,S,"24=d1*d2; phi^2=phi+1 — строгое алгебраическое тождество (CorePhi.v); итоговая форма d1*d2*(phi+1)/pi прозрачна и мотивирована; pi — не выводится; наиболее структурно мотивированная кварковая формула",derivations/quarks/Q01_Q07_origins.md
G01,1/alpha (Thomson limit),36*phi*e^2/pi,137.035999,137.002733,0.0243,NF,"36=(h/5)^2 — post-hoc H4-интерпретация; e^2/pi — численный подбор; alpha_from_H4 в RGRunning.v стоит Admitted; связь с физической 1/alpha(mZ)~128.9 не установлена; полный вывод требует 2-петлевого РГ",derivations/gauge/G01_G02_origins.md
G02,alpha_s(m_Z),(sqrt(5)-2)/2,0.1179,0.118034,0.1136,NF,"(sqrt5-2)/2=phi-3/2 — phi входит через квадратный корень; alpha_s определяется петлями КХД от Lambda_QCD; связь с phi является наблюдением а не объяснением; ошибка 0.11% выше порога V-класса; alpha_s_from_H4 — Admitted",derivations/gauge/G01_G02_origins.md
N01,sin^2(theta_12),8*pi/(phi^5*e^2),0.307,0.306699,0.0980,NF,"Нет вывода из первых принципов; показатели 5 и 2 у phi и e не имеют H4-происхождения в derivation-документах; численное совпадение на уровне V-класса (ошибка ~0.1%)",derivations/leptons/L01_L03_origins.md
N04,delta_CP [deg],3/phi^2 * 180/pi,65.66,65.655121,0.0074,NF,"3/phi^2 = 3*(2-phi) алгебраически; 180/pi — перевод радианов в градусы; коэффициент 3 может быть числом поколений но это post-hoc; delta_CP — наименее точно измеренный параметр (погрешность ~10%); легко подогнать",validate_v4.py
C01,|V_us| (CKM),2*phi^3*e^2/(9*pi^3),0.22650,0.224331,0.9575,NF,"Ошибка 0.96% (класс Pass, граничный); 9=3^2 — число поколений в квадрате; phi^3 и e^2/pi^3 — без явного вывода; комбинация подобрана численно; подтверждения из derivation-документов нет",validate_v4.py
C02,|V_cb| (CKM),1/(3*phi^2*pi),0.0409,0.040528,0.9099,NF,"Ошибка 0.91% (класс Pass); 3=число поколений; phi^2*pi — без вывода; CKM-элементы теоретически определяются параметрами Юкавы, которые не выводятся из H4-структуры",validate_v4.py
H01,m_H [GeV],4*phi^3*e^2,125.20,125.202176,0.0017,NF,"Критическое тождество Tr(D_F^-2)*480/Tr(D_F^-4)=4phi^3 — гипотеза без аналитического доказательства (указано в H01_H03_origins.md); 4 — размерность пространства-времени; e^2 — нормировочный фактор cutoff без строгого вывода; абсолютная масса в ГэВ схемозависима",derivations/higgs/H01_H03_origins.md
H02,m_H/m_W,11*phi/20+2/3,1.5577,1.556585,0.0665,S,"11=e2, 20=d3, 30=h — все реальные H4-инварианты; форма phi*e2/d3+d3/h структурно мотивирована; однако единственного вывода из NCG нет — числа подобраны из пространства H4-выражений для достижения нужного значения",derivations/higgs/H01_H03_origins.md
H03,m_H/m_Z,4*phi*pi/15+4/225,1.37299,1.373299,0.0222,S,"15=h/2 — структурная константа H4; 4/225=4/(h/2)^2 — квадратичная поправка с тем же числом; phi и pi без строгого вывода; комбинация найдена поиском в пространстве H4-выражений",derivations/higgs/H01_H03_origins.md
v21,Delta_m^2_21 [eV^2],(phi*e/pi)^6*1e-5,7.53e-5,7.52997e-5,0.0003,NF,"Степень 6 = |H4|/20 — post-hoc; тройка phi*e/pi не выводится; нейтринные массы определяются механизмом (см-им) масс нейтрино (Seesaw и т.д.) не связанным с H4; масштаб 1e-5 вводится вручную",validate_v4.py
v31,Delta_m^2_31 [eV^2],15*phi^-5*pi^-2*e^-4,2.51e-3,2.51001e-3,0.0004,NF,"15=h/2 — H4-инвариант; отрицательные степени phi, pi, e подобраны численно; вывода нет; связан с v21 через N21=pi/(40*phi^2)",validate_v4.py
N21,Delta_m^2_21/Delta_m^2_31,pi/(40*phi^2),0.03000,0.0299995,0.0015,S,"40=2h-d3=2*30-20 — H4-арифметика; phi^2=phi+1 — строгое тождество; pi не выводится; отношение нейтринных квадратов масс следует из v21 и v31, являющихся подгонкой; само отношение численно поразительно точно",validate_v4.py
Pr,m_p/m_e,6*pi^5,1836.153,1836.118109,0.0019,NF,"6=|H4|/d3=120/20 — H4-арифметика; pi^5 — нет вывода; протонная масса определяется нелинейной КХД (киральная симметрия, конфайнмент); совпадение с 6pi^5 является нумерологией; это классическое совпадение (известно с 1970-х)",validate_v4.py
Snu,Sum neutrino masses [eV],8*phi^-6*pi^-5*e^6*0.1,0.0588,0.0587735,0.0450,NF,"8=|H4|/(d1*d2)=120/15 — post-hoc; степени {-6,-5,6} подобраны численно; множитель 0.1 введён вручную; космологический предел суммы масс нейтрино — не функция симметрии H4",validate_v4.py
